Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
5900,35,1,1,0,0,2,0
8577,36,0,0,0,0,0,0
6340,36,1,1,2,0,2,0
6712,36,1,1,0,0,0,0
6712,36,2,0,0,0,0,0
832,36,0,1,5,0,3,0
4189,36,0,1,3,0,0,0
8736,37,0,1,1,9,0,0
1002,37,0,1,2,0,0,0
4459,37,0,1,0,0,0,0
8736,37,1,1,1,6,0,0
8083,37,0,0,1,1,2,0
6023,38,0,0,0,0,3,0
4112,38,0,0,0,0,0,1
3329,38,0,1,8,0,2,0
4112,38,0,0,0,0,0,1
1683,38,0,1,0,8,2,0
3581,38,0,1,0,0,1,0
4516,38,0,0,2,0,2,0
7451,39,0,1,2,0,0,1
2974,39,1,0,0,10,3,0
1771,39,4,1,0,15,3,0
1771,39,3,1,0,15,3,0
8080,39,0,0,0,0,0,0
8577,40,0,0,0,0,0,0
6341,40,1,0,0,0,0,1
4459,40,1,1,0,0,0,0
4189,40,1,1,6,0,2,0
1311,40,2,1,0,1,2,0
6829,40,0,1,0,2,2,0
4189,40,1,1,7,0,2,0
1002,41,1,0,2,0,0,0
6023,41,0,0,0,0,4,0
1683,41,0,1,0,4,2,0
6705,41,0,1,0,4,4,0
6887,41,0,1,0,0,1,0
1746,41,0,1,0,8,0,0
1746,41,0,0,0,10,0,0
4112,43,0,0,0,0,0,0
7104,43,1,1,0,0,2,0
3581,43,0,1,0,0,0,0
8761,43,0,0,1,0,0,0
4516,44,0,1,0,0,0,0
2974,44,1,1,1,3,0,0
5900,44,0,1,4,0,2,0
8577,45,0,0,0,0,0,0
6829,45,0,1,0,4,2,0
6023,45,0,0,0,0,3,0
6341,45,0,1,0,4,0,0
8080,45,0,1,0,0,4,0
4588,45,0,0,0,0,0,0
6829,45,0,1,0,5,2,0
1311,46,1,1,0,1,0,0
7104,46,0,1,0,0,2,0
8736,46,1,1,2,10,0,0
1771,46,4,1,0,7,2,0
4459,46,0,1,0,0,0,0
832,46,1,1,0,0,3,1
832,46,2,1,0,2,3,1
5651,47,0,0,0,0,0,0
1746,47,1,1,0,8,2,0
6340,47,1,0,6,0,2,0
3329,49,0,0,0,0,0,1
8866,49,0,1,1,0,0,1
6706,49,1,1,0,6,4,0
8761,49,0,0,1,0,0,0
5900,49,1,1,6,0,2,0
5109,49,1,0,0,0,0,1
1002,50,0,0,0,0,0,0
1771,50,3,1,0,18,0,0
5332,50,0,1,0,1,2,0
5332,50,0,1,0,1,2,0
4459,50,0,1,0,0,0,1
8083,50,0,1,2,0,3,0
2974,50,1,1,0,3,2,0
6341,51,0,0,0,1,2,0
4189,51,0,0,1,1,2,0
6887,51,0,0,0,0,0,1
7104,51,0,0,0,0,2,0
6340,52,1,1,5,0,4,0
4516,52,1,1,1,0,0,0
832,52,0,1,0,0,0,0
6705,52,1,1,0,4,4,0
5900,52,1,1,1,0,0,0
4026,52,0,1,0,4,0,0
3329,52,0,0,0,0,0,0
8577,53,0,0,0,0,0,0
1002,53,1,1,0,0,0,0
3581,53,1,1,0,0,0,0
1683,53,1,1,0,4,2,0
1311,53,0,1,0,0,1,0
8080,54,0,1,0,0,4,0
8761,54,0,0,0,0,0,0
