Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
4189,47,4,1,0,11,2,0
1311,48,1,1,0,7,0,0
3635,48,1,1,0,2,2,0
1746,50,2,1,2,5,2,0
4189,50,2,1,0,11,0,0
8736,51,2,1,0,15,2,0
2974,51,2,1,0,27,0,0
7470,52,0,0,0,0,0,1
8866,52,2,1,1,3,2,0
1311,53,1,1,0,7,2,0
4509,53,2,1,0,6,0,0
6829,54,2,1,0,11,3,0
2974,54,6,1,0,22,0,0
1414,55,1,1,0,0,0,0
1683,55,2,1,0,11,2,0
8866,56,2,1,0,2,2,0
6910,56,0,1,0,0,2,0
